,municipio,codEstacao,uf,nomeEstacao,latitude,longitude,datahora,valorMedida,Time,Date
68,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 18:50:00,0.0,18:50,2019-01-02
69,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 19:30:00,0.2,19:30,2019-01-02
70,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 19:50:00,0.0,19:50,2019-01-02
71,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 20:50:00,0.0,20:50,2019-01-02
72,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 21:10:00,0.2,21:10,2019-01-02
73,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 21:50:00,0.0,21:50,2019-01-02
74,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 22:40:00,0.2,22:40,2019-01-02
75,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 22:50:00,0.0,22:50,2019-01-02
76,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-02 23:50:00,0.0,23:50,2019-01-02
77,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-03 00:10:00,0.2,00:10,2019-01-03
78,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-03 00:50:00,0.0,00:50,2019-01-03
79,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-03 01:30:00,0.2,01:30,2019-01-03
80,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-03 02:50:00,0.0,02:50,2019-01-03
81,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-03 03:10:00,0.2,03:10,2019-01-03
82,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-03 03:50:00,0.0,03:50,2019-01-03
83,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-03 04:50:00,0.2,04:50,2019-01-03
84,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-03 05:50:00,0.0,05:50,2019-01-03
85,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-03 06:30:00,0.2,06:30,2019-01-03
86,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-03 06:50:00,0.0,06:50,2019-01-03
87,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-03 07:50:00,0.0,07:50,2019-01-03
88,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-03 08:10:00,0.2,08:10,2019-01-03
89,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-03 08:50:00,0.0,08:50,2019-01-03
90,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-03 09:50:00,0.2,09:50,2019-01-03
91,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-03 10:50:00,0.0,10:50,2019-01-03
92,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-03 11:30:00,0.2,11:30,2019-01-03
93,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-03 11:50:00,0.0,11:50,2019-01-03
94,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-03 12:50:00,0.0,12:50,2019-01-03
95,SÃO PAULO,355030833A,SP,AC Central de SP,-46.635987,-23.543311,2019-01-03 13:20:00,0.2,13:20,2019-01-03
