SEQ,N,16,6.LONG,N,16,6.LAT,N,16,6.LOCAL_ED,C,254.LOCALIZACA,C,254.REFERENCIA,C,254.DATA,D.MES,N,16,6.H_INICIO,C,254.H_FIM,C,254.DURACAO,C,254.DUR_H,N,7,2.id_estacao,C,21.codestacao,C,254.latitude,N,24,15.longitude,N,24,15.nome,C,254.id_municip,N,10,0.rede,C,254.tipoestaca,C,254.geocodigo,N,10,0.cidade,C,254.xcoord,N,24,15.ycoord,N,24,15
179.-46,64249.-23,5366.AV RIO BRANCO.AV RIO BRANCO.AV DUQ DE CAXIAS-AMBOS-SE.30/01/2019.1.17:19:00.19:05:00.01:46:00.1,77.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
189.-46,636383.-23,539781.AV IPIRANGA.AV IPIRANGA.AV CASPER LIBERO-CENTROBAIRRO-SE.30/01/2019.1.18:14:00.18:54:00.00:40:00.0,67.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
208.-46,630781.-23,524646.AV SANTOS DUMONT.AV SANTOS DUMONT.AV DO ESTADO-AEROPORTOSANTANA-SE.04/02/2019.2.03:53:00.09:50:00.05:57:00.5,95.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
228.-46,63036.-23,52401.AV SANTOS DUMONT.AV SANTOS DUMONT.ALTURA DO NUMERO 536-AEROPORTOSANTANA-SE.04/02/2019.2.07:47:00.07:22:00.23:35:00.23,58.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
230.-46,641682.-23,537535.AV RIO BRANCO.AV RIO BRANCO.R GAL OSORIO-BAIRROCENTRO-SE.04/02/2019.2.08:08:00.13:30:00.05:22:00.5,37.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
232.-46,611555.-23,54003.AV CELSO GARCIA.AV CELSO GARCIA.R JOSE DE ALENCAR-CENTROBAIRRO - UNICA-MO.06/02/2019.2.07:42:00.09:38:00.01:56:00.1,93.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
244.-46,63057.-23,52438.AV DO ESTADO.AV DO ESTADO BOM RETIRO.DA AV PTE SANTOS DUMONT-IPIRANGASANTANA - LOCAL-SE.06/02/2019.2.12:56:00.13:05:00.00:09:00.0,15.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
246.-46,61478.-23,54181.R GOMES CARDIM.R GOMES CARDIM BRAS.AV RANGEL PESTANA-UNICO - UNICA-MO.06/02/2019.2.12:56:00.16:56:00.04:00:00.4.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
260.-46,62826.-23,55452.R GLICERIO.R GLICERIO.ALTURA DO NUMERO 221-UNICO - NAO INFORMADA-SE.06/02/2019.2.16:01:00.16:48:00.00:47:00.0,78.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
268.-46,627042.-23,543123.AV MERCURIO.AV MERCURIO.PC S VITO-UNICO - ESQUERDA-SE.06/02/2019.2.18:36:00.21:50:00.03:14:00.3,23.3809.355030857A.-23,541.-46,629.Centro.2692.CEMADEN.Pluviométrica.3550308.SÃO PAULO.-46,629.-23,541
