,Unnamed: 0,date,text,Time,Date
4839,4839,2019-01-07 16:00:18-02:00,"🔥CHUVA DE SEGUIDORES 11 4 MIL🔥
MARQUE 3 AMIGOS 
SIGA @PhenriqueOfc94
SIGA @PhenriqueOfc94 
SIGA TODOS QUE CURTIREM E COMENTAREM NA FOTO.
#followforfollow #followmeto… https://t.co/1HN7REHXGr",16:00,2019-01-07
4842,4842,2019-01-07 15:58:53-02:00,"🔥CHUVA DE SEGUIDORES 11 4 MIL🔥
#followforfollow #followmeto… https://t.co/yAyUAIZK8r",15:58,2019-01-07
4843,4843,2019-01-07 15:58:37-02:00,"🔥CHUVA DE SEGUIDORES 11 4 MIL🔥
#followforfollow #followmeto… https://t.co/iJ6zGbC8gA",15:58,2019-01-07
4909,4909,2019-01-07 14:38:37-02:00,Faça sol ou chuva a thexxlco  continuar de pé.afinal de contas já são dezenove anos de tradição!!!!! em São Paulo  Brazil https://t.co/cVThjftCbE,14:38,2019-01-07
4940,4940,2019-01-07 14:07:44-02:00,"“Assim como o sol retoma com o seu brilho após a tempestade  você encontrará luz após a escuridão” 💗🌻 
#2019 #Janeiro #Segunda (7/365) em São Paulo  Brazil https://t.co/rjDOqwojIY",14:07,2019-01-07
5330,5330,2019-01-06 22:28:48-02:00,Sol e chuva na big city... #zonanortesp #casaverde #sunday #boanoite em São Paulo  Brazil https://t.co/zXiwh0RwTW,22:28,2019-01-06
5370,5370,2019-01-08 21:15:59-02:00,"Quando chove... a gente agradece!🙌🏽🌧
Porque na vida vamos aprendendo o que realmente importa!🙏🏽
Fazia muito  mas muito tempo que eu não tomava banho de chuva  uma@coisa que amo  e foi… https://t.co/1ePyqmhGP1",21:15,2019-01-08
5465,5465,2019-01-08 19:01:12-02:00,Só bastou uma pancada de chuva  talvez foi cedo demais elogiar! prefsp @radiobandnewsfm em Red House International School https://t.co/jJd4gjJIhL,19:01,2019-01-08
5556,5556,2019-01-08 16:39:30-02:00,Cidade sendo alagada por uma forte chuva. em São Paulo  Brazil https://t.co/8O7gaK2gSH,16:39,2019-01-08
5558,5558,2019-01-08 16:36:09-02:00,A chuva. em São Paulo  Brazil https://t.co/p0dwbtKUZm,16:36,2019-01-08
5563,5563,2019-01-08 16:18:09-02:00,"Chove sobre a capital dos paulistas 
#chuva #temporal em São Paulo  Brazil https://t.co/1RCGog0Tlg",16:18,2019-01-08
5567,5567,2019-01-08 16:12:01-02:00,A chuva  a gaita (Gaita G). #AiltonRios #chuva #gaita #gaitadeboca #gaitablues #gaitaG #harper #harmonica #harmonicaplayer #ailtonrios #musisian #musica #estudegaita #estudemusica… https://t.co/YnGI0RtXmg,16:12,2019-01-08
5756,5756,2019-01-08 12:23:37-02:00,Sol ou chuva a loja @xxl não para!!!mais um lançamento comemorando dezenove anos de tradição loja de fábrica!!!! endereço:rua Silva Teles 381 Brás São Paulo. em São Paulo  Brazil https://t.co/7B9OaKa05A,12:23,2019-01-08
6270,6270,2019-01-09 18:29:41-02:00,Ao fundo uma nuvem de chuva se formando   é um Cumulunimbus conhecida na aviacao por CB !! Boa tarde !! em São Paulo  Brazil https://t.co/dueqRoSKOl,18:29,2019-01-09
6461,6461,2019-01-09 14:56:11-02:00,A chuva esconde as lágrimas. em São Paulo  Brazil https://t.co/wST6HMR2Oo,14:56,2019-01-09
6669,6669,2019-01-09 09:07:40-02:00,Desliza na chuva que é uma belezaaa... em São Paulo  Brazil https://t.co/gUZZf4kWEa,09:07,2019-01-09
6671,6671,2019-01-09 09:03:18-02:00,"#Repost padrealessandrocampos (get_repost)
A fé sempre combina com uma atitude positiva diante da vida. Que Deus lhe dê para cada tempestade  um arco íris … https://t.co/1u4O7XZ22R",09:03,2019-01-09
7425,7425,2019-01-10 13:02:31-02:00,Um par de raios rosas para um par de olhos amarelos. ⚡️Tão rosa quanto os lençóis que deitamos  hoje eu quero ser sua amante! 💞 em São Paulo  Brazil https://t.co/I7eEGBRwso,13:02,2019-01-10
7941,7941,2019-01-11 20:38:11-02:00,#rain em São Paulo  Brazil https://t.co/e4HLykwxRz,20:38,2019-01-11
7990,7990,2019-01-11 19:37:53-02:00,"Pedágio  engarrafamento e chuva...
Agora entendo o porquê esse povo é estressado!!! em São Paulo  Brazil https://t.co/mmkl5nJfrs",19:37,2019-01-11
8009,8009,2019-01-11 19:05:51-02:00,"E no meio do caos que é o trânsito de SP.
Temos a oportunidade de ver um arco-íris!!
Coisas como estas que alegram a nossa vida!
#rainbow #arcoiris #photography #transitodesp #SPLovers… https://t.co/BG54fTwbjx",19:05,2019-01-11
8085,8085,2019-01-11 17:17:37-02:00,@jaloo #chuva #jaloochuva #jaloo #jaloomusic @ São Paulo  Brazil https://t.co/mvsx4bAsqh,17:17,2019-01-11
8243,8243,2019-01-11 12:49:16-02:00,"'Quem deseja ver o arco-íris  precisa aprender a gostar da chuva. ' ☀️🌧🌈🙏🏻
@paulocoelho em São Paulo  Brazil https://t.co/MTXBSs8P42",12:49,2019-01-11
8336,8336,2019-01-11 11:10:25-02:00,"LIVRO FOTOCULTURA 10 ANOS (digital)
'Uma vez teve 500 pessoas  fantasiados. Teve uma saída com poesia  na chuva  com música  teve uma mulher nua  fogo  circo  teve de tudo um bastante.… https://t.co/RrUFRbajob",11:10,2019-01-11
8397,8397,2019-01-11 09:00:41-02:00,🎶👏🏼 A-HA! U-HU! Ô Rafa vou comer o seu bolo! A chuva cai  a rua inunda! Ô Rafa vou comer o seu bolo! 👏🏼🎶. Amoor  muita gente vai te desejar que você tenha um dia lindo hoje. Eu já te… https://t.co/8Xun54tksm,09:00,2019-01-11
8404,8404,2019-01-11 08:42:25-02:00,Sobre a chuva de ontem... ⚡️⚡️⚡️ em São Paulo  Brazil https://t.co/uuu7gw9nZb,08:42,2019-01-11
